Timestamp,Percentage Full (clean),Percentage Full (post-slope-cap),Percentage Full (hampel),Percentage Full,Water Volume,Auto Pump,Battery,PumpOn
2025-10-20 16:30:00,99.3,99.3,99.3,99.3,142970.88,,80.0,0
2025-10-20 16:33:00,99.4,99.4,99.4,99.4,143205.33,,80.0,0
2025-10-20 16:36:00,99.4,99.4,99.4,99.4,143205.33,,80.0,0
2025-10-20 16:39:00,99.75,99.75,99.75,99.75,143615.58000000002,,80.0,0
2025-10-20 16:42:00,99.35,99.35,99.35,99.8,143674.19,,80.0,0
2025-10-20 16:45:00,99.3,99.3,99.3,99.3,142970.88,,80.0,0
2025-10-20 16:48:00,99.6,99.6,99.6,99.6,143439.77,,80.0,0
2025-10-20 16:51:00,99.0,99.0,99.0,99.0,142619.22,,80.0,0
2025-10-20 16:54:00,99.3,99.3,99.3,99.3,142970.88,,80.0,0
2025-10-20 16:57:00,99.3,99.3,99.3,99.3,142970.88,,80.0,0
2025-10-20 17:00:00,99.15,99.15,99.15,98.55,141915.91,,80.0,0
2025-10-20 17:03:00,99.1,99.1,99.1,99.1,142677.83000000002,,80.0,0
2025-10-20 17:06:00,99.2,99.2,99.2,99.2,142853.66,,80.0,0
2025-10-20 17:09:00,99.15,99.15,99.15,99.15,142795.05,,80.0,0
2025-10-20 17:12:00,98.9,98.9,98.9,98.9,142384.78,,80.0,0
2025-10-20 17:15:00,99.0,99.0,99.0,99.0,142502.0,,80.0,0
2025-10-20 17:18:00,99.0,99.0,99.0,98.05,141212.58000000002,,80.0,0
2025-10-20 17:21:00,98.8,98.8,98.8,98.8,142267.555,,80.0,0
2025-10-20 17:24:00,99.1,99.1,99.1,99.1,142736.44,,80.0,0
2025-10-20 17:27:00,99.1,99.1,99.1,99.1,142736.44,,80.0,0
2025-10-20 17:30:00,99.0,99.0,99.0,99.0,142560.61,,80.0,0
2025-10-20 17:33:00,99.0,99.0,99.0,99.0,142502.0,,80.0,0
2025-10-20 17:36:00,98.95,98.95,98.95,98.95,142443.39,,80.0,0
2025-10-20 17:39:00,98.7,98.7,98.7,98.7,142150.33500000002,,80.0,0
2025-10-20 17:42:00,99.05,99.05,99.05,99.3,142970.88,,80.0,0
2025-10-20 17:45:00,99.05,99.05,99.05,99.05,142677.83000000002,,80.0,0
2025-10-20 17:48:00,99.05,99.05,99.05,99.05,142619.22,,80.0,0
2025-10-20 17:51:00,99.05,99.05,99.05,99.05,142619.22,,80.0,0
2025-10-20 17:54:00,98.9,98.9,98.9,98.9,142384.78,,80.0,0
